Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Human gene stable ID	Human gene name	Human orthology confidence [0 low, 1 high]
ENSMPUG00000000043	ENSMPUG00000000043.1	ENSMPUT00000000043	ENSMPUT00000000043.1	ENSG00000154016	GRAP	1
ENSMPUG00000000043	ENSMPUG00000000043.1	ENSMPUT00000000043	ENSMPUT00000000043.1	ENSG00000189152	GRAPL	0
ENSMPUG00000000044	ENSMPUG00000000044.1	ENSMPUT00000000044	ENSMPUT00000000044.1	ENSG00000072134	EPN2	1
ENSMPUG00000000045	ENSMPUG00000000045.1	ENSMPUT00000000045	ENSMPUT00000000045.1	ENSG00000108641	B9D1	1
ENSMPUG00000000046	ENSMPUG00000000046.1	ENSMPUT00000000046	ENSMPUT00000000046.1	ENSG00000166484	MAPK7	1
ENSMPUG00000000047	ENSMPUG00000000047.1	ENSMPUT00000000047	ENSMPUT00000000047.1	ENSG00000166482	MFAP4	1
ENSMPUG00000000048	ENSMPUG00000000048.1	ENSMPUT00000000048	ENSMPUT00000000048.1	ENSG00000128482	RNF112	1
ENSMPUG00000000049	ENSMPUG00000000049.1	ENSMPUT00000000049	ENSMPUT00000000049.1			
ENSMPUG00000000050	ENSMPUG00000000050.1	ENSMPUT00000000050	ENSMPUT00000000050.1			
ENSMPUG00000000051	ENSMPUG00000000051.1	ENSMPUT00000000051	ENSMPUT00000000051.1	ENSG00000142494	SLC47A1	1
ENSMPUG00000000052	ENSMPUG00000000052.1	ENSMPUT00000000052	ENSMPUT00000000052.1	ENSG00000197454	OR2L5	1
ENSMPUG00000000052	ENSMPUG00000000052.1	ENSMPUT00000000052	ENSMPUT00000000052.1	ENSG00000198128	OR2L3	0
ENSMPUG00000000052	ENSMPUG00000000052.1	ENSMPUT00000000052	ENSMPUT00000000052.1	ENSG00000203663	OR2L2	0
ENSMPUG00000000052	ENSMPUG00000000052.1	ENSMPUT00000000052	ENSMPUT00000000052.1	ENSG00000279263	OR2L8	1
ENSMPUG00000000053	ENSMPUG00000000053.1	ENSMPUT00000000053	ENSMPUT00000000053.1			
ENSMPUG00000000054	ENSMPUG00000000054.1	ENSMPUT00000000054	ENSMPUT00000000054.1			
ENSMPUG00000000055	ENSMPUG00000000055.1	ENSMPUT00000000055	ENSMPUT00000000055.1			
ENSMPUG00000000056	ENSMPUG00000000056.1	ENSMPUT00000000056	ENSMPUT00000000056.1	ENSG00000072210	ALDH3A2	1
ENSMPUG00000000057	ENSMPUG00000000057.1	ENSMPUT00000000057	ENSMPUT00000000057.1	ENSG00000180638	SLC47A2	1
ENSMPUG00000000058	ENSMPUG00000000058.1	ENSMPUT00000000058	ENSMPUT00000000058.1	ENSG00000108602	ALDH3A1	1
ENSMPUG00000000059	ENSMPUG00000000059.1	ENSMPUT00000000059	ENSMPUT00000000059.1			
ENSMPUG00000000060	ENSMPUG00000000060.1	ENSMPUT00000000060	ENSMPUT00000000060.1	ENSG00000083290	ULK2	1
ENSMPUG00000000061	ENSMPUG00000000061.1	ENSMPUT00000000061	ENSMPUT00000000061.1			
ENSMPUG00000000062	ENSMPUG00000000062.1	ENSMPUT00000000062	ENSMPUT00000000062.1	ENSG00000279270	OR52R1	0
ENSMPUG00000000063	ENSMPUG00000000063.1	ENSMPUT00000000063	ENSMPUT00000000063.1			
ENSMPUG00000000064	ENSMPUG00000000064.1	ENSMPUT00000000064	ENSMPUT00000000064.1			
ENSMPUG00000000065	ENSMPUG00000000065.1	ENSMPUT00000000065	ENSMPUT00000000065.1			
ENSMPUG00000000066	ENSMPUG00000000066.1	ENSMPUT00000000066	ENSMPUT00000000066.1	ENSG00000119335	SET	0
ENSMPUG00000000067	ENSMPUG00000000067.1	ENSMPUT00000000067	ENSMPUT00000000067.1			
ENSMPUG00000000068	ENSMPUG00000000068.1	ENSMPUT00000000068	ENSMPUT00000000068.1	ENSG00000198612	COPS8	1
ENSMPUG00000000069	ENSMPUG00000000069.1	ENSMPUT00000000069	ENSMPUT00000000069.1	ENSG00000141522	ARHGDIA	0
ENSMPUG00000000070	ENSMPUG00000000070.1	ENSMPUT00000000070	ENSMPUT00000000070.1			
ENSMPUG00000000071	ENSMPUG00000000071.1	ENSMPUT00000000071	ENSMPUT00000000071.1			
ENSMPUG00000000072	ENSMPUG00000000072.1	ENSMPUT00000000072	ENSMPUT00000000072.1	ENSG00000163359	COL6A3	1
ENSMPUG00000000073	ENSMPUG00000000073.1	ENSMPUT00000000073	ENSMPUT00000000073.1			
ENSMPUG00000000074	ENSMPUG00000000074.1	ENSMPUT00000000074	ENSMPUT00000000074.1	ENSG00000078596	ITM2A	1
ENSMPUG00000000075	ENSMPUG00000000075.1	ENSMPUT00000000075	ENSMPUT00000000075.1	ENSG00000115648	MLPH	1
ENSMPUG00000000076	ENSMPUG00000000076.1	ENSMPUT00000000076	ENSMPUT00000000076.1	ENSG00000147138	GPR174	1
ENSMPUG00000000077	ENSMPUG00000000077.1	ENSMPUT00000000077	ENSMPUT00000000077.1	ENSG00000071677	PRLH	1
ENSMPUG00000000078	ENSMPUG00000000078.1	ENSMPUT00000000078	ENSMPUT00000000078.1			
ENSMPUG00000000079	ENSMPUG00000000079.1	ENSMPUT00000000079	ENSMPUT00000000079.1	ENSG00000124839	RAB17	1
ENSMPUG00000000080	ENSMPUG00000000080.1	ENSMPUT00000000080	ENSMPUT00000000080.1	ENSG00000078589	P2RY10	1
ENSMPUG00000000081	ENSMPUG00000000081.1	ENSMPUT00000000081	ENSMPUT00000000081.1	ENSG00000124831	LRRFIP1	1
ENSMPUG00000000082	ENSMPUG00000000082.1	ENSMPUT00000000082	ENSMPUT00000000082.1			
ENSMPUG00000000083	ENSMPUG00000000083.1	ENSMPUT00000000083	ENSMPUT00000000083.1			
ENSMPUG00000000084	ENSMPUG00000000084.1	ENSMPUT00000000084	ENSMPUT00000000084.1	ENSG00000187325	TAF9B	1
ENSMPUG00000000085	ENSMPUG00000000085.1	ENSMPUT00000000085	ENSMPUT00000000085.1	ENSG00000102144	PGK1	1
ENSMPUG00000000086	ENSMPUG00000000086.1	ENSMPUT00000000086	ENSMPUT00000000086.1	ENSG00000165240	ATP7A	1
ENSMPUG00000000087	ENSMPUG00000000087.1	ENSMPUT00000000087	ENSMPUT00000000087.1	ENSG00000085224	ATRX	1
ENSMPUG00000000088	ENSMPUG00000000088.1	ENSMPUT00000000088	ENSMPUT00000000088.1	ENSG00000188408	MAGEB5	0
ENSMPUG00000000089	ENSMPUG00000000089.1	ENSMPUT00000000089	ENSMPUT00000000089.1			
ENSMPUG00000000090	ENSMPUG00000000090.1	ENSMPUT00000000090	ENSMPUT00000000090.1	ENSG00000196468	FGF16	1
ENSMPUG00000000091	ENSMPUG00000000091.1	ENSMPUT00000000091	ENSMPUT00000000091.1			
ENSMPUG00000000092	ENSMPUG00000000092.1	ENSMPUT00000000092	ENSMPUT00000000092.1	ENSG00000004848	ARX	1
ENSMPUG00000000093	ENSMPUG00000000093.1	ENSMPUT00000000093	ENSMPUT00000000093.1	ENSG00000162631	NTNG1	1
ENSMPUG00000000094	ENSMPUG00000000094.1	ENSMPUT00000000094	ENSMPUT00000000094.1	ENSG00000134215	VAV3	1
ENSMPUG00000000095	ENSMPUG00000000095.1	ENSMPUT00000000095	ENSMPUT00000000095.1	ENSG00000085491	SLC25A24	1
ENSMPUG00000000096	ENSMPUG00000000096.1	ENSMPUT00000000096	ENSMPUT00000000096.1			
ENSMPUG00000000097	ENSMPUG00000000097.1	ENSMPUT00000000097	ENSMPUT00000000097.1	ENSG00000101868	POLA1	1
ENSMPUG00000000098	ENSMPUG00000000098.1	ENSMPUT00000000098	ENSMPUT00000000098.1	ENSG00000177483	RBM44	1
ENSMPUG00000000099	ENSMPUG00000000099.1	ENSMPUT00000000099	ENSMPUT00000000099.1	ENSG00000132329	RAMP1	1
ENSMPUG00000000100	ENSMPUG00000000100.1	ENSMPUT00000000100	ENSMPUT00000000100.1	ENSG00000102230	PCYT1B	1
ENSMPUG00000000101	ENSMPUG00000000101.1	ENSMPUT00000000101	ENSMPUT00000000101.1	ENSG00000184182	UBE2F	1
ENSMPUG00000000102	ENSMPUG00000000102.1	ENSMPUT00000000102	ENSMPUT00000000102.1			
ENSMPUG00000000103	ENSMPUG00000000103.1	ENSMPUT00000000103	ENSMPUT00000000103.1	ENSG00000162636	EEIG2	1
ENSMPUG00000000104	ENSMPUG00000000104.1	ENSMPUT00000000104	ENSMPUT00000000104.1	ENSG00000067992	PDK3	1
ENSMPUG00000000105	ENSMPUG00000000105.1	ENSMPUT00000000105	ENSMPUT00000000105.1	ENSG00000067646	ZFY	1
ENSMPUG00000000106	ENSMPUG00000000106.1	ENSMPUT00000000106	ENSMPUT00000000106.1	ENSG00000180574	EIF2S3B	1
ENSMPUG00000000107	ENSMPUG00000000107.1	ENSMPUT00000000107	ENSMPUT00000000107.1	ENSG00000174010	KLHL15	1
ENSMPUG00000000108	ENSMPUG00000000108.1	ENSMPUT00000000108	ENSMPUT00000000108.1	ENSG00000165182	CXorf58	1
ENSMPUG00000000109	ENSMPUG00000000109.1	ENSMPUT00000000109	ENSMPUT00000000109.1	ENSG00000184831	APOO	1
ENSMPUG00000000110	ENSMPUG00000000110.1	ENSMPUT00000000110	ENSMPUT00000000110.1	ENSG00000162639	HENMT1	1
ENSMPUG00000000111	ENSMPUG00000000111.1	ENSMPUT00000000111	ENSMPUT00000000111.1	ENSG00000132330	SCLY	1
ENSMPUG00000000112	ENSMPUG00000000112.1	ENSMPUT00000000112	ENSMPUT00000000112.1	ENSG00000130066	SAT1	1
ENSMPUG00000000113	ENSMPUG00000000113.1	ENSMPUT00000000113	ENSMPUT00000000113.1	ENSG00000123130	ACOT9	1
ENSMPUG00000000114	ENSMPUG00000000114.1	ENSMPUT00000000114	ENSMPUT00000000114.1	ENSG00000144488	ESPNL	0
ENSMPUG00000000115	ENSMPUG00000000115.1	ENSMPUT00000000115	ENSMPUT00000000115.1	ENSG00000144488	ESPNL	0
ENSMPUG00000000116	ENSMPUG00000000116.1	ENSMPUT00000000116	ENSMPUT00000000116.1	ENSG00000123131	PRDX4	1
ENSMPUG00000000117	ENSMPUG00000000117.1	ENSMPUT00000000117	ENSMPUT00000000117.1	ENSG00000168427	KLHL30	1
ENSMPUG00000000118	ENSMPUG00000000118.1	ENSMPUT00000000118	ENSMPUT00000000118.1	ENSG00000178752	ERFE	1
ENSMPUG00000000119	ENSMPUG00000000119.1	ENSMPUT00000000119	ENSMPUT00000000119.1	ENSG00000132323	ILKAP	1
ENSMPUG00000000120	ENSMPUG00000000120.1	ENSMPUT00000000120	ENSMPUT00000000120.1	ENSG00000165186	PTCHD1	1
ENSMPUG00000000121	ENSMPUG00000000121.1	ENSMPUT00000000121	ENSMPUT00000000121.1			
ENSMPUG00000000122	ENSMPUG00000000122.1	ENSMPUT00000000122	ENSMPUT00000000122.1	ENSG00000102174	PHEX	1
ENSMPUG00000000123	ENSMPUG00000000123.1	ENSMPUT00000000123	ENSMPUT00000000123.1	ENSG00000102172	SMS	1
ENSMPUG00000000124	ENSMPUG00000000124.1	ENSMPUT00000000124	ENSMPUT00000000124.1	ENSG00000132326	PER2	1
ENSMPUG00000000125	ENSMPUG00000000125.1	ENSMPUT00000000125	ENSMPUT00000000125.1	ENSG00000204104	TRAF3IP1	1
ENSMPUG00000000126	ENSMPUG00000000126.1	ENSMPUT00000000126	ENSMPUT00000000126.1	ENSG00000065802	ASB1	1
ENSMPUG00000000127	ENSMPUG00000000127.1	ENSMPUT00000000127	ENSMPUT00000000127.1	ENSG00000068024	HDAC4	1
ENSMPUG00000000128	ENSMPUG00000000128.1	ENSMPUT00000000128	ENSMPUT00000000128.1	ENSG00000130414	NDUFA10	1
ENSMPUG00000000129	ENSMPUG00000000129.1	ENSMPUT00000000129	ENSMPUT00000000129.1	ENSG00000178602	OTOS	1
ENSMPUG00000000130	ENSMPUG00000000130.1	ENSMPUT00000000130	ENSMPUT00000000130.1			
ENSMPUG00000000131	ENSMPUG00000000131.1	ENSMPUT00000000131	ENSMPUT00000000131.1	ENSG00000063660	GPC1	1
ENSMPUG00000000132	ENSMPUG00000000132.1	ENSMPUT00000000132	ENSMPUT00000000132.1	ENSG00000144504	ANKMY1	1
ENSMPUG00000000133	ENSMPUG00000000133.1	ENSMPUT00000000133	ENSMPUT00000000133.1	ENSG00000012174	MBTPS2	1
ENSMPUG00000000134	ENSMPUG00000000134.1	ENSMPUT00000000134	ENSMPUT00000000134.1	ENSG00000091482	SMPX	1
ENSMPUG00000000135	ENSMPUG00000000135.1	ENSMPUT00000000135	ENSMPUT00000000135.1			
ENSMPUG00000000136	ENSMPUG00000000136.1	ENSMPUT00000000136	ENSMPUT00000000136.1	ENSG00000185915	KLHL34	1
ENSMPUG00000000137	ENSMPUG00000000137.1	ENSMPUT00000000137	ENSMPUT00000000137.1	ENSG00000188542	DUSP28	1
ENSMPUG00000000138	ENSMPUG00000000138.1	ENSMPUT00000000138	ENSMPUT00000000138.1	ENSG00000142327	RNPEPL1	1
ENSMPUG00000000138	ENSMPUG00000000138.1	ENSMPUT00000000139	ENSMPUT00000000139.1	ENSG00000142327	RNPEPL1	1
ENSMPUG00000000139	ENSMPUG00000000139.1	ENSMPUT00000000140	ENSMPUT00000000140.1	ENSG00000142330	CAPN10	1
ENSMPUG00000000140	ENSMPUG00000000140.1	ENSMPUT00000000141	ENSMPUT00000000141.1	ENSG00000149970	CNKSR2	1
ENSMPUG00000000141	ENSMPUG00000000141.1	ENSMPUT00000000142	ENSMPUT00000000142.1	ENSG00000184945	AQP12A	1
ENSMPUG00000000141	ENSMPUG00000000141.1	ENSMPUT00000000142	ENSMPUT00000000142.1	ENSG00000185176	AQP12B	1
ENSMPUG00000000142	ENSMPUG00000000142.1	ENSMPUT00000000143	ENSMPUT00000000143.1	ENSG00000130294	KIF1A	1
ENSMPUG00000000143	ENSMPUG00000000143.1	ENSMPUT00000000144	ENSMPUT00000000144.1	ENSG00000172482	AGXT	1
ENSMPUG00000000144	ENSMPUG00000000144.1	ENSMPUT00000000145	ENSMPUT00000000145.1	ENSG00000172478	MAB21L4	1
ENSMPUG00000000145	ENSMPUG00000000145.1	ENSMPUT00000000146	ENSMPUT00000000146.1	ENSG00000226321	CROCC2	1
ENSMPUG00000000146	ENSMPUG00000000146.1	ENSMPUT00000000147	ENSMPUT00000000147.1	ENSG00000165794	SLC39A2	1
ENSMPUG00000000147	ENSMPUG00000000147.1	ENSMPUT00000000148	ENSMPUT00000000148.1	ENSG00000162804	SNED1	1
ENSMPUG00000000148	ENSMPUG00000000148.1	ENSMPUT00000000149	ENSMPUT00000000149.1	ENSG00000196781	TLE1	1
ENSMPUG00000000149	ENSMPUG00000000149.1	ENSMPUT00000000150	ENSMPUT00000000150.1			
ENSMPUG00000000150	ENSMPUG00000000150.1	ENSMPUT00000000151	ENSMPUT00000000151.1	ENSG00000165795	NDRG2	1
ENSMPUG00000000151	ENSMPUG00000000151.1	ENSMPUT00000000152	ENSMPUT00000000152.1			
ENSMPUG00000000152	ENSMPUG00000000152.1	ENSMPUT00000000153	ENSMPUT00000000153.1			
ENSMPUG00000000153	ENSMPUG00000000153.1	ENSMPUT00000000154	ENSMPUT00000000154.1	ENSG00000179636	TPPP2	1
ENSMPUG00000000154	ENSMPUG00000000154.1	ENSMPUT00000000155	ENSMPUT00000000155.1	ENSG00000165801	ARHGEF40	1
ENSMPUG00000000155	ENSMPUG00000000155.1	ENSMPUT00000000156	ENSMPUT00000000156.1	ENSG00000122085	MTERF4	1
ENSMPUG00000000156	ENSMPUG00000000156.1	ENSMPUT00000000157	ENSMPUT00000000157.1	ENSG00000165804	ZNF219	1
ENSMPUG00000000157	ENSMPUG00000000157.1	ENSMPUT00000000158	ENSMPUT00000000158.1	ENSG00000232070	TMEM253	1
ENSMPUG00000000158	ENSMPUG00000000158.1	ENSMPUT00000000159	ENSMPUT00000000159.1	ENSG00000115687	PASK	1
ENSMPUG00000000159	ENSMPUG00000000159.1	ENSMPUT00000000160	ENSMPUT00000000160.1			
ENSMPUG00000000160	ENSMPUG00000000160.1	ENSMPUT00000000161	ENSMPUT00000000161.1	ENSG00000146205	ANO7	1
ENSMPUG00000000161	ENSMPUG00000000161.1	ENSMPUT00000000162	ENSMPUT00000000162.1	ENSG00000169327	OR5AU1	1
ENSMPUG00000000162	ENSMPUG00000000162.1	ENSMPUT00000000163	ENSMPUT00000000163.1			
ENSMPUG00000000163	ENSMPUG00000000163.1	ENSMPUT00000000164	ENSMPUT00000000164.1	ENSG00000115677	HDLBP	1
ENSMPUG00000000164	ENSMPUG00000000164.1	ENSMPUT00000000165	ENSMPUT00000000165.1	ENSG00000179172	HNRNPCL1	0
ENSMPUG00000000164	ENSMPUG00000000164.1	ENSMPUT00000000165	ENSMPUT00000000165.1	ENSG00000275774	HNRNPCL2	0
ENSMPUG00000000164	ENSMPUG00000000164.1	ENSMPUT00000000165	ENSMPUT00000000165.1	ENSG00000277058	HNRNPCL3	0
ENSMPUG00000000164	ENSMPUG00000000164.1	ENSMPUT00000000165	ENSMPUT00000000165.1	ENSG00000179412	HNRNPCL4	0
ENSMPUG00000000164	ENSMPUG00000000164.1	ENSMPUT00000000165	ENSMPUT00000000165.1	ENSG00000092199	HNRNPC	1
ENSMPUG00000000165	ENSMPUG00000000165.1	ENSMPUT00000000166	ENSMPUT00000000166.1	ENSG00000092200	RPGRIP1	1
ENSMPUG00000000166	ENSMPUG00000000166.1	ENSMPUT00000000167	ENSMPUT00000000167.1	ENSG00000168385	SEPTIN2	1
ENSMPUG00000000167	ENSMPUG00000000167.1	ENSMPUT00000000168	ENSMPUT00000000168.1	ENSG00000069431	ABCC9	1
ENSMPUG00000000168	ENSMPUG00000000168.1	ENSMPUT00000000169	ENSMPUT00000000169.1			
ENSMPUG00000000169	ENSMPUG00000000169.1	ENSMPUT00000000170	ENSMPUT00000000170.1	ENSG00000167528	ZNF641	1
ENSMPUG00000000170	ENSMPUG00000000170.1	ENSMPUT00000000171	ENSMPUT00000000171.1	ENSG00000121361	KCNJ8	1
ENSMPUG00000000171	ENSMPUG00000000171.1	ENSMPUT00000000172	ENSMPUT00000000172.1			
ENSMPUG00000000172	ENSMPUG00000000172.1	ENSMPUT00000000173	ENSMPUT00000000173.1			
ENSMPUG00000000173	ENSMPUG00000000173.1	ENSMPUT00000000174	ENSMPUT00000000174.1	ENSG00000092201	SUPT16H	1
ENSMPUG00000000174	ENSMPUG00000000174.1	ENSMPUT00000000175	ENSMPUT00000000175.1	ENSG00000100888	CHD8	1
ENSMPUG00000000175	ENSMPUG00000000175.1	ENSMPUT00000000176	ENSMPUT00000000176.1	ENSG00000006607	FARP2	1
ENSMPUG00000000176	ENSMPUG00000000176.1	ENSMPUT00000000177	ENSMPUT00000000177.1	ENSG00000115694	STK25	1
ENSMPUG00000000177	ENSMPUG00000000177.1	ENSMPUT00000000178	ENSMPUT00000000178.1	ENSG00000129472	RAB2B	1
ENSMPUG00000000178	ENSMPUG00000000178.1	ENSMPUT00000000179	ENSMPUT00000000179.1			
ENSMPUG00000000179	ENSMPUG00000000179.1	ENSMPUT00000000180	ENSMPUT00000000180.1	ENSG00000176720	BOK	1
ENSMPUG00000000180	ENSMPUG00000000180.1	ENSMPUT00000000181	ENSMPUT00000000181.1			
ENSMPUG00000000181	ENSMPUG00000000181.1	ENSMPUT00000000182	ENSMPUT00000000182.1	ENSG00000092203	TOX4	1
ENSMPUG00000000182	ENSMPUG00000000182.1	ENSMPUT00000000183	ENSMPUT00000000183.1	ENSG00000176946	THAP4	1
ENSMPUG00000000183	ENSMPUG00000000183.1	ENSMPUT00000000184	ENSMPUT00000000184.1	ENSG00000172459	OR5AR1	1
ENSMPUG00000000184	ENSMPUG00000000184.1	ENSMPUT00000000185	ENSMPUT00000000185.1	ENSG00000165819	METTL3	1
ENSMPUG00000000185	ENSMPUG00000000185.1	ENSMPUT00000000186	ENSMPUT00000000186.1			
ENSMPUG00000000186	ENSMPUG00000000186.1	ENSMPUT00000000187	ENSMPUT00000000187.1			
ENSMPUG00000000187	ENSMPUG00000000187.1	ENSMPUT00000000188	ENSMPUT00000000188.1	ENSG00000168397	ATG4B	1
ENSMPUG00000000188	ENSMPUG00000000188.1	ENSMPUT00000000189	ENSMPUT00000000189.1			
ENSMPUG00000000189	ENSMPUG00000000189.1	ENSMPUT00000000190	ENSMPUT00000000190.1	ENSG00000168393	DTYMK	1
ENSMPUG00000000190	ENSMPUG00000000190.1	ENSMPUT00000000191	ENSMPUT00000000191.1	ENSG00000168395	ING5	1
ENSMPUG00000000191	ENSMPUG00000000191.1	ENSMPUT00000000192	ENSMPUT00000000192.1	ENSG00000180902	D2HGDH	1
ENSMPUG00000000192	ENSMPUG00000000192.1	ENSMPUT00000000193	ENSMPUT00000000193.1	ENSG00000111713	GYS2	1
ENSMPUG00000000193	ENSMPUG00000000193.1	ENSMPUT00000000194	ENSMPUT00000000194.1	ENSG00000154252	GAL3ST2	1
ENSMPUG00000000194	ENSMPUG00000000194.1	ENSMPUT00000000195	ENSMPUT00000000195.1	ENSG00000102349	KLF8	1
ENSMPUG00000000195	ENSMPUG00000000195.1	ENSMPUT00000000196	ENSMPUT00000000196.1	ENSG00000204099	NEU4	1
ENSMPUG00000000196	ENSMPUG00000000196.1	ENSMPUT00000000197	ENSMPUT00000000197.1	ENSG00000134548	SPX	1
ENSMPUG00000000197	ENSMPUG00000000197.1	ENSMPUT00000000198	ENSMPUT00000000198.1	ENSG00000188389	PDCD1	1
ENSMPUG00000000198	ENSMPUG00000000198.1	ENSMPUT00000000199	ENSMPUT00000000199.1	ENSG00000111711	GOLT1B	1
ENSMPUG00000000199	ENSMPUG00000000199.1	ENSMPUT00000000200	ENSMPUT00000000200.1	ENSG00000165821	SALL2	1
ENSMPUG00000000200	ENSMPUG00000000200.1	ENSMPUT00000000201	ENSMPUT00000000201.1	ENSG00000188011	RTP5	0
ENSMPUG00000000201	ENSMPUG00000000201.1	ENSMPUT00000000202	ENSMPUT00000000202.1	ENSG00000013441	CLK1	1
ENSMPUG00000000202	ENSMPUG00000000202.1	ENSMPUT00000000203	ENSMPUT00000000203.1	ENSG00000004700	RECQL	1
